id,appeal_id,text,modified_text,content_type,true_toxicity,correct_action,noisy_toxicity_score,confidence_level,follower_bucket,group,is_adversarial,user_id,day,violation_history,last_action,escalation_level,original_action_taken,should_reverse,label
1,1,"I'm not disagreeing with you that the group exists, thats obvious.  We need an authoritative source to list them as terrorists, though, not any .com operation.","I'm not disagreeing with you that the group exists, thats obvious.  We need an authoritative source to list them as terrorists, though, not any .com operation.",personal,0,0,0.0457,0.9543,0,B,0,0,0,0,0,0,0,0,0
2,2,"re vandalism 

how can i leave a reason for making a change. I deleted the segment i added because i felt that it would take more time to edit the existing fundraising segment than i have. 

ps what are the rules for primary sources i'm trying to create a qeeg article and i worked for ER John PHD and bob Eisenheart phd who was one of the  people who created VARETA and nx link which are  the basis of the queeg","re vandalism 

how can i leave a reason for making a change. I deleted the segment i added because i felt that it would take more time to edit the existing fundraising segment than i have. 

ps what are the rules for primary sources i'm trying to create a qeeg article and i worked for ER John PHD and bob Eisenheart phd who was one of the  people who created VARETA and nx link which are  the basis of the queeg",personal,0,0,0.0,1.0,0,B,0,0,0,0,0,0,0,0,0
3,3,"""

 A barnstar for you! 

  The Barnstar of Diligence Just wanted to thank you for your continued persistence on new Modern Family episode articles. I'm really grateful to be able to read aggregated episode reviews without needing to paraphrase them myself. Keep up the good work! czar ⨹ ""","""

 A barnstar for you! 

  The Barnstar of Diligence Just wanted to thank you for your continued persistence on new Modern Family episode articles. I'm really grateful to be able to read aggregated episode reviews without needing to paraphrase them myself. Keep up the good work! czar ⨹ """,personal,0,0,0.1126,0.8874,0,A,0,0,0,0,0,0,0,0,0
4,4,"When I open a talk discussion based on a disputed edit on your talk page and you ignore it and give me a warning on my own page about the EXACT SAME MATTER, it generally doesn't look good.  Do not remove mine or anyone else's comments from anyone else's talk page.  it's vandalism.  Not like, an interpretation of WP:VANDAL.  It's spelled right out!

Deleting the comments of other users from article Talk pages, or deleting entire sections thereof, is generally considered vandalism.

Don't ignore my comments and make bad-faith warnings on my talk page, and don't delete comments from talk pages!   (Karwynn)","When I open a talk discussion based on a disputed edit on your talk page and you ignore it and give me a warning on my own page about the EXACT SAME MATTER, it generally doesn't look good.  Do not remove mine or anyone else's comments from anyone else's talk page.  it's vandalism.  Not like, an interpretation of WP:VANDAL.  It's spelled right out!

Deleting the comments of other users from article Talk pages, or deleting entire sections thereof, is generally considered vandalism.

Don't ignore my comments and make bad-faith warnings on my talk page, and don't delete comments from talk pages!   (Karwynn)",general,0,0,0.1411,0.8589,0,B,0,0,0,0,0,0,0,0,0
5,5,WIKIPEDIA SUX RANK FAGOTY ASS ==,WIKIPEDIA SUX RANK FAGOTY ASS ==,general,1,0,0.0073,0.7073,0,B,0,0,0,0,0,0,0,1,1
6,6,"""::I'll bite for hopefully a last time.  Nobody cares what you think is fact.  Get over it.  As you've been told several times, """"fact"""" is not Wikipedia policy.  Verifiability is.  It's policy.  Accept it or please move on because your edits will almost always be reverted by editors who do follow policy.  

""","""::I'll bite for hopefully a last time.  Nobody cares what you think is fact.  Get over it.  As you've been told several times, """"fact"""" is not Wikipedia policy.  Verifiability is.  It's policy.  Accept it or please move on because your edits will almost always be reverted by editors who do follow policy.  

""",news_info,0,0,0.0,1.0,0,A,0,0,0,0,0,0,0,0,0
7,7,/addresses of proxy servers,/addresses of proxy servers,general,0,0,0.0192,0.9808,1,B,0,0,0,0,0,0,0,0,0
8,8,there's nothing wrong with the 4 train image that was reverted because the b and l train articles also have two identical photos too and i explain why to vochen and there's nothing wrong with the edits that was reverted at the 14 street 8 avenue article you guys are just being complete dickheads and hypocritical retards at best,there's nothing wrong with the 4 train image that was reverted because the b and l train articles also have two identical photos too and i explain why to vochen and there's nothing wrong with the edits that was reverted at the 14 street 8 avenue article you guys are just being complete dickheads and hypocritical retards at best,general,0,0,0.0526,0.9526,1,B,0,0,0,0,0,0,0,0,0
9,9,See [] for discussion about User FWDixon/Bob Finnan's link spamming and plagiarism.,See [] for discussion about User FWDixon/Bob Finnan's link spamming and plagiarism.,general,0,0,0.0,1.0,1,B,0,0,0,0,0,0,0,0,0
10,10,I have a huge penis and I like to fuck icelantic girls in the ass.,I have a huge penis and I like to fuck icelantic girls in the ass.,sexual,1,1,0.272,0.872,0,B,0,0,0,0,0,0,1,0,1
11,11,"Not really relevant anymore, but why is it that you are looking only at the fact that I'm blocked on must not comment there? You could at least have pretended to be looking at the content of what I was getting at. — Dorftrottel⁠","Not really relevant anymore, but why is it that you are looking only at the fact that I'm blocked on must not comment there? You could at least have pretended to be looking at the content of what I was getting at. — Dorftrottel⁠",personal,0,0,0.1319,0.8681,0,A,0,0,0,0,0,0,0,0,0
12,12,Please put the gay jokes back on the queer page,Please put the gay jokes back on the queer page,general,1,0,0.3167,0.8833,0,A,0,0,0,0,0,0,0,1,1
13,13,"I'm back... 

...I haven't found the rusty knife yet, but I'm working on it. Now, I believe we have matters to discuss. Like wtf do you think you are playing at?!?! 217.41.238.156","I'm back... 

...I haven't found the rusty knife yet, but I'm working on it. Now, I believe we have matters to discuss. Like wtf do you think you are playing at?!?! 217.41.238.156",personal,0,0,0.0099,0.9901,1,B,0,0,0,0,0,0,0,0,0
14,14,"To the contrary, if you read my intent.  However, there is still the matter of the graph made from census bureau data sourced from healthsentinel with permission that expands the existing graph from the CDC.  Also, there is the matter of the peer reviewed, academic journal article from Sage Publications by Dr. Miller showing the correlation of infant mortality rates and vaccination schedules.  I would like to include this since this page is about the controversy and not the vaccines themselves.  This article explains the want of people for further testing on the safety of so many vaccines in a short period of time.","To the contrary, if you read my intent.  However, there is still the matter of the graph made from census bureau data sourced from healthsentinel with permission that expands the existing graph from the CDC.  Also, there is the matter of the peer reviewed, academic journal article from Sage Publications by Dr. Miller showing the correlation of infant mortality rates and vaccination schedules.  I would like to include this since this page is about the controversy and not the vaccines themselves.  This article explains the want of people for further testing on the safety of so many vaccines in a short period of time.",news_info,0,0,0.1691,0.8309,1,A,0,0,0,0,0,0,0,0,0
15,15,How can I blocked for 2 weeks?,How can I blocked for 2 weeks?,general,0,0,0.0701,0.9299,0,A,0,0,0,0,0,0,0,0,0
16,16,"I would object to that title for the same reasons as presented above.  Splitting hairs and playing at semantics does not sidestep the above raised problems, imo.  And one of the arguments Tarc has alluded to is one I agree completely with: If you can't describe a person in terms of their own accomplishments, but only on the nature of their relationship with someone else, then they simply are not notable enough for an article.  If Sarah Brown is only really notable for being the spouse of someone, then this article should be deeply pruned, merged and redirected to Gordon Brown. lute","I would object to that title for the same reasons as presented above.  Splitting hairs and playing at semantics does not sidestep the above raised problems, imo.  And one of the arguments Tarc has alluded to is one I agree completely with: If you can't describe a person in terms of their own accomplishments, but only on the nature of their relationship with someone else, then they simply are not notable enough for an article.  If Sarah Brown is only really notable for being the spouse of someone, then this article should be deeply pruned, merged and redirected to Gordon Brown. lute",personal,0,0,0.0,1.0,1,B,0,3,4,2,0,1,0,0,0
17,17,"They're about to start construction on new lines 3 and 6. Exciting, now I'll only have to walk two blocks to get to the fackin tube...","They're about to start construction on new lines 3 and 6. Exciting, now I'll only have to walk two blocks to get to the fackin tube...",general,1,0,0.3053,0.9447,0,A,0,0,0,0,0,0,0,1,1
18,18,"http://en.wikipedia.org/wiki/User_talk:62.203.172.174 

What the fu** are you talking about? If you had an ounce of reason in your scull you would have seen that I just removed a double entry - nothing else. 

By the way, there is more of it further down on that page, but I refrained from doing that, as I am not a native speaker.

NB: It is people like you that make life hell for ordinary wikipedians.","http://en.wikipedia.org/wiki/User_talk:62.203.172.174 

What the fu** are you talking about? If you had an ounce of reason in your scull you would have seen that I just removed a double entry - nothing else. 

By the way, there is more of it further down on that page, but I refrained from doing that, as I am not a native speaker.

NB: It is people like you that make life hell for ordinary wikipedians.",personal,0,0,0.0,1.0,0,A,0,0,0,0,0,0,0,0,0
19,19,"But again. The Variety source is a reliable source (even stated again here) that, again per WP:V, will be used until a new or different reliable source comes around that says otherwise. -","But again. The Variety source is a reliable source (even stated again here) that, again per WP:V, will be used until a new or different reliable source comes around that says otherwise. -",general,0,0,0.1318,0.8682,0,B,0,0,0,0,0,0,0,0,0
20,20,"I believe your a fake, i mean are you really an administrator? ur so mean, what did i do? are you atheist? u act like 1","I believe your a fake, i mean are you really an administrator? ur so mean, what did i do? are you atheist? u act like 1",personal,1,0,0.1925,0.9925,0,A,0,0,0,0,0,0,0,1,1
21,21,"Revert 
Reverted one step due to vandalism;","Revert 
Reverted one step due to vandalism;",general,0,0,0.0,1.0,1,A,0,0,0,0,0,0,0,0,0
22,22,"You must really hate freedom, you evil-doing, nazi asshole
IP Banning, is that something Osama Bin Laden told you would be effective? You are such a snivelling little asshole","You must really hate freedom, you evil-doing, nazi asshole
IP Banning, is that something Osama Bin Laden told you would be effective? You are such a snivelling little asshole",hate_speech,1,0,0.1479,0.8979,2,B,0,0,0,0,0,0,0,1,1
23,23,PS:  you're all middle-aged losers at home in your parents basements living off 50 bucks a week,PS:  you're all middle-aged losers at home in your parents basements living off 50 bucks a week,general,1,0,0.3834,0.8166,0,A,0,0,0,0,0,0,0,1,1
24,24,"""As for  the notability of Yamal, Phil Jones (among others) thinks it is important  and it does supply a """"hockey stick"""" recon, eh? Albeit a heavily-criticized one. One has to wonder why there is no mention at all here - or at Climategate, last I looked ""","""As for  the notability of Yamal, Phil Jones (among others) thinks it is important  and it does supply a """"hockey stick"""" recon, eh? Albeit a heavily-criticized one. One has to wonder why there is no mention at all here - or at Climategate, last I looked """,general,0,0,0.0,1.0,0,A,0,0,0,0,0,0,0,0,0
25,25,"I will do Whatever i want and it is my right, what is both of yous Problem Asshole.","I will do Whatever i want and it is my right, what is both of yous Problem Asshole.",sexual,1,0,0.2358,0.9358,1,A,0,21,6,1,0,1,0,1,1
26,26,"You rate him as somewhat more authoritative than me. But sorry to say, I rate you as completely an idiot about this topic.","You rate him as somewhat more authoritative than me. But sorry to say, I rate you as completely an idiot about this topic.",general,1,0,0.1972,0.9472,2,B,0,12,8,2,0,0,0,1,1
27,27,"Why do you love cock? 

Stop taking down my vandalism you fucking nigger loving faggot.","Why do you love cock? 

Stop taking down my vandalism you fucking nigger loving faggot.",hate_speech,1,2,0.7298,0.9202,0,A,0,0,0,0,0,0,2,0,1
